iter	Passed	Remaining
0	8	8073
1	15	7870
2	23	7683
3	30	7541
4	38	7623
5	46	7733
6	53	7632
7	61	7581
8	68	7573
9	78	7753
10	85	7714
11	93	7722
12	100	7604
13	108	7649
14	116	7635
15	123	7619
16	131	7616
17	138	7580
18	146	7544
19	154	7562
20	162	7558
21	169	7548
22	177	7551
23	184	7498
24	192	7499
25	198	7442
26	206	7458
27	213	7412
28	221	7415
29	227	7362
30	236	7381
31	243	7359
32	250	7350
33	258	7356
34	266	7335
35	273	7335
36	281	7334
37	289	7317
38	296	7317
39	303	7283
40	311	7278
41	318	7268
42	325	7255
43	333	7245
44	340	7236
45	348	7234
46	356	7234
47	364	7237
48	372	7232
49	380	7220
50	387	7212
51	394	7200
52	402	7192
53	409	7176
54	417	7168
55	423	7144
56	431	7135
57	438	7120
58	446	7115
59	455	7132
60	462	7121
61	470	7124
62	478	7110
63	485	7100
64	492	7081
65	499	7073
66	507	7067
67	514	7048
68	521	7039
69	529	7035
70	536	7015
71	544	7014
72	550	6994
73	557	6982
74	566	6988
75	574	6978
76	581	6965
77	589	6963
78	597	6962
79	604	6955
80	613	6957
81	620	6949
82	628	6943
83	636	6938
84	643	6927
85	651	6929
86	660	6928
87	668	6930
88	677	6933
89	683	6915
90	692	6913
91	698	6896
92	707	6900
93	715	6899
94	724	6897
95	732	6899
96	739	6886
97	748	6886
98	755	6875
99	764	6880
100	772	6876
101	780	6869
102	787	6860
103	795	6853
104	802	6842
105	811	6840
106	818	6831
107	824	6811
108	832	6806
109	839	6791
110	848	6798
111	858	6803
112	865	6790
113	872	6783
114	879	6769
115	887	6761
116	894	6749
117	900	6733
118	908	6724
119	914	6707
120	922	6699
121	929	6690
122	936	6677
123	943	6662
124	952	6666
125	959	6656
126	967	6650
127	975	6646
128	983	6642
129	992	6644
130	1000	6637
131	1008	6628
132	1015	6621
133	1022	6606
134	1030	6601
135	1038	6596
136	1045	6584
137	1053	6579
138	1060	6570
139	1069	6568
140	1076	6558
141	1084	6551
142	1092	6544
143	1098	6532
144	1106	6526
145	1119	6547
146	1126	6538
147	1134	6530
148	1141	6521
149	1149	6514
150	1158	6513
151	1164	6498
152	1173	6494
153	1180	6484
